data,scontrini_R067,totale_R067,weekend,holiday,season,date,weather_condition
2018-09-01,,,1,0,Estate,2018-09-01,Moderate conditions
2018-09-02,,,1,0,Estate,2018-09-02,Moderate conditions
2018-09-03,,,0,0,Estate,2018-09-03,Favorable conditions
2018-09-04,,,0,0,Estate,2018-09-04,Moderate conditions
2018-09-05,,,0,0,Estate,2018-09-05,Moderate conditions
2018-09-06,,,0,0,Estate,2018-09-06,Moderate conditions
2018-09-07,,,1,0,Estate,2018-09-07,Favorable conditions
2018-09-08,,,1,0,Estate,2018-09-08,Favorable conditions
2018-09-09,,,1,0,Estate,2018-09-09,Favorable conditions
2018-09-10,,,0,0,Estate,2018-09-10,Favorable conditions
2018-09-11,,,0,0,Estate,2018-09-11,Favorable conditions
2018-09-12,,,0,0,Estate,2018-09-12,Moderate conditions
2018-09-13,,,0,0,Estate,2018-09-13,Moderate conditions
2018-09-14,,,1,0,Estate,2018-09-14,Moderate conditions
2018-09-15,,,1,0,Estate,2018-09-15,Moderate conditions
2018-09-16,,,1,0,Estate,2018-09-16,Moderate conditions
2018-09-17,,,0,0,Estate,2018-09-17,Moderate conditions
2018-09-18,,,0,0,Estate,2018-09-18,Favorable conditions
2018-09-19,,,0,0,Estate,2018-09-19,Favorable conditions
2018-09-20,,,0,0,Estate,2018-09-20,Favorable conditions
2018-09-21,,,1,0,Autunno,2018-09-21,Favorable conditions
2018-09-22,,,1,0,Autunno,2018-09-22,Favorable conditions
2018-09-23,,,1,0,Autunno,2018-09-23,Moderate conditions
2018-09-24,,,0,0,Autunno,2018-09-24,Favorable conditions
2018-09-25,,,0,0,Autunno,2018-09-25,Favorable conditions
2018-09-26,,,0,0,Autunno,2018-09-26,Favorable conditions
2018-09-27,,,0,0,Autunno,2018-09-27,Favorable conditions
2018-09-28,,,1,0,Autunno,2018-09-28,Favorable conditions
2018-09-29,,,1,0,Autunno,2018-09-29,Moderate conditions
2018-09-30,,,1,0,Autunno,2018-09-30,Moderate conditions
2018-10-01,,,0,0,Autunno,2018-10-01,Favorable conditions
2018-10-02,,,0,0,Autunno,2018-10-02,Favorable conditions
2018-10-03,,,0,0,Autunno,2018-10-03,Favorable conditions
2018-10-04,,,0,0,Autunno,2018-10-04,Moderate conditions
2018-10-05,,,1,0,Autunno,2018-10-05,Moderate conditions
2018-10-06,,,1,0,Autunno,2018-10-06,Moderate conditions
2018-10-07,,,1,0,Autunno,2018-10-07,Moderate conditions
2018-10-08,,,0,0,Autunno,2018-10-08,Favorable conditions
2018-10-09,,,0,0,Autunno,2018-10-09,Favorable conditions
2018-10-10,,,0,0,Autunno,2018-10-10,Moderate conditions
2018-10-11,,,0,0,Autunno,2018-10-11,Moderate conditions
2018-10-12,,,1,0,Autunno,2018-10-12,Favorable conditions
2018-10-13,,,1,0,Autunno,2018-10-13,Favorable conditions
2018-10-14,,,1,0,Autunno,2018-10-14,Moderate conditions
2018-10-15,,,0,0,Autunno,2018-10-15,Moderate conditions
2018-10-16,,,0,0,Autunno,2018-10-16,Moderate conditions
2018-10-17,,,0,0,Autunno,2018-10-17,Favorable conditions
2018-10-18,,,0,0,Autunno,2018-10-18,Favorable conditions
2018-10-19,,,1,0,Autunno,2018-10-19,Favorable conditions
2018-10-20,,,1,0,Autunno,2018-10-20,Favorable conditions
2018-10-21,,,1,0,Autunno,2018-10-21,Favorable conditions
2018-10-22,,,0,0,Autunno,2018-10-22,Favorable conditions
2018-10-23,,,0,0,Autunno,2018-10-23,Favorable conditions
2018-10-24,,,0,0,Autunno,2018-10-24,Favorable conditions
2018-10-25,,,0,0,Autunno,2018-10-25,Moderate conditions
2018-10-26,,,1,0,Autunno,2018-10-26,Moderate conditions
2018-10-27,,,1,0,Autunno,2018-10-27,Moderate conditions
2018-10-28,,,1,0,Autunno,2018-10-28,Moderate conditions
2018-10-29,,,0,0,Autunno,2018-10-29,Moderate conditions
2018-10-30,,,0,0,Autunno,2018-10-30,Moderate conditions
2018-10-31,,,0,0,Autunno,2018-10-31,Moderate conditions
2018-11-01,,,0,1,Autunno,2018-11-01,Moderate conditions
2018-11-02,,,1,0,Autunno,2018-11-02,Moderate conditions
2018-11-03,,,1,0,Autunno,2018-11-03,Moderate conditions
2018-11-04,,,1,0,Autunno,2018-11-04,Moderate conditions
2018-11-05,,,0,0,Autunno,2018-11-05,Moderate conditions
2018-11-06,,,0,0,Autunno,2018-11-06,Moderate conditions
2018-11-07,,,0,0,Autunno,2018-11-07,Moderate conditions
2018-11-08,,,0,0,Autunno,2018-11-08,Moderate conditions
2018-11-09,,,1,0,Autunno,2018-11-09,Moderate conditions
2018-11-10,,,1,0,Autunno,2018-11-10,Moderate conditions
2018-11-11,,,1,0,Autunno,2018-11-11,Moderate conditions
2018-11-12,,,0,0,Autunno,2018-11-12,Moderate conditions
2018-11-13,,,0,0,Autunno,2018-11-13,Favorable conditions
2018-11-14,,,0,0,Autunno,2018-11-14,Favorable conditions
2018-11-15,,,0,0,Autunno,2018-11-15,Favorable conditions
2018-11-16,,,1,0,Autunno,2018-11-16,Favorable conditions
2018-11-17,,,1,0,Autunno,2018-11-17,Favorable conditions
2018-11-18,,,1,0,Autunno,2018-11-18,Moderate conditions
2018-11-19,,,0,0,Autunno,2018-11-19,Moderate conditions
2018-11-20,,,0,0,Autunno,2018-11-20,Moderate conditions
2018-11-21,,,0,0,Autunno,2018-11-21,Favorable conditions
2018-11-22,,,0,0,Autunno,2018-11-22,Moderate conditions
2018-11-23,,,1,0,Autunno,2018-11-23,Moderate conditions
2018-11-24,,,1,0,Autunno,2018-11-24,Moderate conditions
2018-11-25,,,1,0,Autunno,2018-11-25,Moderate conditions
2018-11-26,,,0,0,Autunno,2018-11-26,Moderate conditions
2018-11-27,,,0,0,Autunno,2018-11-27,Favorable conditions
2018-11-28,,,0,0,Autunno,2018-11-28,Favorable conditions
2018-11-29,,,0,0,Autunno,2018-11-29,Favorable conditions
2018-11-30,,,1,0,Autunno,2018-11-30,Favorable conditions
2018-12-01,,,1,0,Autunno,2018-12-01,Favorable conditions
2018-12-02,,,1,0,Autunno,2018-12-02,Moderate conditions
2018-12-03,,,0,0,Autunno,2018-12-03,Favorable conditions
2018-12-04,,,0,0,Autunno,2018-12-04,Favorable conditions
2018-12-05,,,0,0,Autunno,2018-12-05,Favorable conditions
