data,scontrini_R002,totale_R002,weekend,holiday,season,date,weather_condition
2018-09-01,1238.0,44509.36,1,0,Estate,2018-09-01,Moderate conditions
2018-09-02,971.0,37013.43,1,0,Estate,2018-09-02,Moderate conditions
2018-09-03,782.0,27336.32,0,0,Estate,2018-09-03,Favorable conditions
2018-09-04,793.0,27500.18,0,0,Estate,2018-09-04,Favorable conditions
2018-09-05,758.0,25443.04,0,0,Estate,2018-09-05,Moderate conditions
2018-09-06,827.0,28380.14,0,0,Estate,2018-09-06,Moderate conditions
2018-09-07,953.0,31443.89,1,0,Estate,2018-09-07,Favorable conditions
2018-09-08,1185.0,41197.88,1,0,Estate,2018-09-08,Favorable conditions
2018-09-09,850.0,32054.16,1,0,Estate,2018-09-09,Favorable conditions
2018-09-10,850.0,29050.82,0,0,Estate,2018-09-10,Favorable conditions
2018-09-11,848.0,28699.79,0,0,Estate,2018-09-11,Favorable conditions
2018-09-12,856.0,27924.78,0,0,Estate,2018-09-12,Moderate conditions
2018-09-13,898.0,30120.92,0,0,Estate,2018-09-13,Moderate conditions
2018-09-14,1162.0,39615.61,1,0,Estate,2018-09-14,Moderate conditions
2018-09-15,1230.0,45008.0,1,0,Estate,2018-09-15,Moderate conditions
2018-09-16,992.0,37109.06,1,0,Estate,2018-09-16,Moderate conditions
2018-09-17,869.0,31348.26,0,0,Estate,2018-09-17,Moderate conditions
2018-09-18,761.0,25776.97,0,0,Estate,2018-09-18,Favorable conditions
2018-09-19,759.0,25165.86,0,0,Estate,2018-09-19,Favorable conditions
2018-09-20,965.0,29071.94,0,0,Estate,2018-09-20,Favorable conditions
2018-09-21,1089.0,35959.72,1,0,Autunno,2018-09-21,Favorable conditions
2018-09-22,1227.0,44819.64,1,0,Autunno,2018-09-22,Favorable conditions
2018-09-23,1039.0,37204.88,1,0,Autunno,2018-09-23,Moderate conditions
2018-09-24,699.0,22564.03,0,0,Autunno,2018-09-24,Favorable conditions
2018-09-25,713.0,23081.14,0,0,Autunno,2018-09-25,Favorable conditions
2018-09-26,845.0,27001.85,0,0,Autunno,2018-09-26,Favorable conditions
2018-09-27,778.0,25530.21,0,0,Autunno,2018-09-27,Favorable conditions
2018-09-28,1112.0,37143.23,1,0,Autunno,2018-09-28,Favorable conditions
2018-09-29,1321.0,46442.73,1,0,Autunno,2018-09-29,Favorable conditions
